"No.","Time","Source","Destination","Protocol","Length","Flags","Window","Differentiated Services Field","Version","Info"
"185","2.239543133","10.0.0.6","188.125.72.139","TCP","66","0x010","690","0x00","","53246  >  443 [ACK] Seq=3158 Ack=269 Win=690 Len=0 TSval=4055460608 TSecr=2730655686"
"186","2.239910272","188.125.72.139","10.0.0.6","TCP","66","0x010","1432","0x00","","443  >  53246 [ACK] Seq=269 Ack=3158 Win=1432 Len=0 TSval=2730655691 TSecr=4055460519"
"187","2.242307973","188.125.72.139","10.0.0.6","TLSv1.2","169","0x018","1432","0x00","TLS 1.2","Application Data"
"188","2.242323733","10.0.0.6","188.125.72.139","TCP","66","0x010","690","0x00","","53246  >  443 [ACK] Seq=3158 Ack=372 Win=690 Len=0 TSval=4055460611 TSecr=2730655693"
"189","2.244649235","87.248.116.12","10.0.0.6","TCP","66","0x010","23","0x00","","443  >  42042 [ACK] Seq=40 Ack=2704 Win=23 Len=0 TSval=3398549274 TSecr=2340454331"
"190","2.245275494","188.125.72.139","10.0.0.6","TLSv1.2","169","0x018","1432","0x00","TLS 1.2","Application Data"
"191","2.245275657","87.248.116.12","10.0.0.6","TCP","66","0x010","23","0x00","","443  >  42042 [ACK] Seq=40 Ack=5068 Win=23 Len=0 TSval=3398549276 TSecr=2340454331"
"192","2.245275702","87.248.116.12","10.0.0.6","TCP","66","0x010","23","0x00","","443  >  42042 [ACK] Seq=40 Ack=7890 Win=23 Len=0 TSval=3398549277 TSecr=2340454333"
"193","2.245302475","10.0.0.6","188.125.72.139","TCP","66","0x010","690","0x00","","53246  >  443 [ACK] Seq=3158 Ack=475 Win=690 Len=0 TSval=4055460614 TSecr=2730655695"
"194","2.246768970","178.250.7.48","10.0.0.6","TCP","74","0x012","65160","0x00","","443  >  53938 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1452 SACK_PERM TSval=607927811 TSecr=720068898 WS=1024"
"195","2.246789155","10.0.0.6","178.250.7.48","TCP","66","0x010","502","0x00","","53938  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=720068960 TSecr=607927811"
"196","2.247825882","10.0.0.6","142.250.75.142","TLSv1.3","140","0x018","577","0x00","TLS 1.2,TLS 1.2","Change Cipher Spec, Application Data"
"197","2.248059145","10.0.0.6","188.125.72.139","TLSv1.2","101","0x018","690","0x00","TLS 1.2","Application Data"
"198","2.250620954","10.0.0.6","178.250.7.48","TLSv1.3","1793","0x018","502","0x00","TLS 1.0","Client Hello (SNI=bidder.criteo.com)"
"199","2.251288986","3.78.168.176","10.0.0.6","TCP","66","0x010","27","0x00","","443  >  33232 [ACK] Seq=1 Ack=623 Win=27 Len=0 TSval=1976155025 TSecr=2132379348"
"200","2.251480221","3.78.168.176","10.0.0.6","TLSv1.2","105","0x018","27","0x00","TLS 1.2","Application Data"
"201","2.251489918","10.0.0.6","3.78.168.176","TCP","66","0x010","646","0x00","","33232  >  443 [ACK] Seq=6149 Ack=40 Win=646 Len=0 TSval=2132379413 TSecr=1976155026"
"202","2.252005789","10.0.0.6","142.250.75.142","TLSv1.3","158","0x018","577","0x00","TLS 1.2","Application Data"
"203","2.252369149","10.0.0.6","142.250.75.142","TLSv1.3","1611","0x018","577","0x00","TLS 1.2","Application Data"
"204","2.252698242","3.78.168.176","10.0.0.6","TCP","66","0x010","27","0x00","","443  >  33232 [ACK] Seq=40 Ack=2063 Win=27 Len=0 TSval=1976155027 TSecr=2132379349"
"205","2.254284373","3.78.168.176","10.0.0.6","TCP","66","0x010","27","0x00","","443  >  33232 [ACK] Seq=40 Ack=4943 Win=27 Len=0 TSval=1976155029 TSecr=2132379349"
"206","2.254284459","142.250.75.142","10.0.0.6","TCP","66","0x010","1050","0x80","","443  >  58082 [ACK] Seq=7858 Ack=1832 Win=268800 Len=0 TSval=2102857854 TSecr=3508699010"
